family,scope,model,channel,regime,defense,benign_x,benign_n,adv_x,adv_n,adv_rate,benign_rate,raw_p,holm_p,significant_holm_0.05
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Prompt-only,d_mtd,50,100,47,100,47.0,50.0,0.7772865849198713,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Prompt-only,early_abort,50,100,10,100,10.0,50.0,5.549046052049071e-10,4.938650986323673e-08,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Prompt-only,none,50,100,86,100,86.0,50.0,6.208061384846358e-08,5.401013404816332e-06,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Controller-only,budget_cap,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Controller-only,d_mtd,0,60,0,60,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Controller-only,early_abort,0,60,6,60,10.0,0.0,0.027411633549740966,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Controller-only,none,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Conservative,budget_cap,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Conservative,d_mtd,0,60,0,60,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Conservative,early_abort,0,60,10,60,16.67,0.0,0.0012991334653512415,0.10133241029739684,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Llama3.1-8B,url,Conservative,none,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Baseline,budget_cap,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Baseline,d_mtd,0,100,1,100,1.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Baseline,early_abort,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Baseline,none,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Prompt-only,budget_cap,0,100,48,100,48.0,0.0,3.847782935876534e-18,3.96321642395283e-16,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Prompt-only,d_mtd,0,100,37,100,37.0,0.0,2.392725194914819e-13,2.297016187118226e-11,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Prompt-only,early_abort,0,100,6,100,6.0,0.0,0.028930282023157568,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Prompt-only,none,0,100,41,98,41.84,0.0,1.3768966557357106e-15,1.3493587226209964e-13,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Controller-only,budget_cap,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Controller-only,d_mtd,0,59,0,60,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Controller-only,early_abort,0,60,12,60,20.0,0.0,0.00026546096664808517,0.021502338298494898,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Controller-only,none,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Conservative,budget_cap,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Conservative,d_mtd,0,60,0,60,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Conservative,early_abort,0,60,3,60,5.0,0.0,0.2436974789915967,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Mistral-7B,url,Conservative,none,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Baseline,budget_cap,0,40,15,40,37.5,0.0,1.2123608861199174e-05,0.0010183831443407306,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Baseline,early_abort,0,40,0,40,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Baseline,none,0,40,1,40,2.5,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Baseline,rag_d_mtd,0,40,0,40,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Prompt-only,budget_cap,0,40,17,40,42.5,0.0,1.7485974319037272e-06,0.00015037937914372053,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Prompt-only,early_abort,0,40,0,40,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Prompt-only,none,0,40,1,40,2.5,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Prompt-only,rag_d_mtd,0,40,0,40,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Controller-only,budget_cap,0,40,40,40,100.0,0.0,1.8603403656036264e-23,2.0835812094760614e-21,True
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Controller-only,early_abort,0,40,5,40,12.5,0.0,0.05474272562880158,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_within_defense,Qwen2.5-14B,rag,Controller-only,none,0,40,40,40,100.0,0.0,1.8603403656036264e-23,2.0835812094760614e-21,True
